Rank,Artist,Peak,Prev,Streak,URL
158, Father Stretch My Hands Pt. 1,97,153,6,https://open.spotify.com/track/4KW1lqgSr8TKrvBII0Brf8
159, ORANGE SODA,54,152,3,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD
160, Bound 2,20,159,67,https://open.spotify.com/track/3sNVsP50132BTNlImLx70i
161," You're On Your Own, Kid",6,156,2,https://open.spotify.com/track/4D7BCuvgdJlYvlX5WlN54t
162, The Hills,27,170,44,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
163, Fair Trade (with Travis Scott),3,169,3,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
164, Coco Chanel,55,157,6,https://open.spotify.com/track/0PB0O24JqAuNdOAFVJljMS
165, Sunrise,21,133,8,https://open.spotify.com/track/0JtgoDDf0ggWaoXCGhcOoT
166, Lover,1,171,3,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
167, MIDDLE CHILD,1,150,14,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
168, Tennessee Whiskey,98,155,17,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx
169, Passionfruit,1,163,3,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz
170, NEW MAGIC WAND,16,191,2,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
171, Lost,14,126,3,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723
172, Novacane,90,140,2,https://open.spotify.com/track/4osgfFTICMkcGbbigdsa53
173, Tennessee Orange,107,—,1,https://open.spotify.com/track/3fl4zil6HJ0N1FL3YIRwdC
174, La Jumpa,43,197,2,https://open.spotify.com/track/2mnXxnrX5vCGolNkaFvVeM
175," After The Storm (feat. Tyler, The Creator & Bootsy Collins)",175,—,1,https://open.spotify.com/track/1otG6j1WHNvl9WgXLWkHTo
176, Runnin,3,178,2,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
177, Haegeum,177,—,1,https://open.spotify.com/track/4bjN59DRXFRxBE1g5ne6B1
178, PUFFIN ON ZOOTIEZ,4,187,17,https://open.spotify.com/track/1qMMYpVatbRITKCfq1gasi
179, The Spins,61,161,5,https://open.spotify.com/track/7FAFkQQZFeNwOFzTrSDFIh
180, Ric Flair Drip (with Metro Boomin),4,172,17,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
181, Ni**as In Paris,107,175,2,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007
182, Love Me,182,194,2,https://open.spotify.com/track/2XHzzp1j4IfTNp1FTn7YFg
183, Efecto,10,183,51,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
184, El Gavilán,182,182,2,https://open.spotify.com/track/4ygQ5wSuzzNRevVjup1qV2
185, august,6,199,2,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K
186, Heading South,70,174,17,https://open.spotify.com/track/2Dct3GykKZ58hpWRFfe2Qd
187, The Less I Know The Better,117,166,2,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
188, Blinding Lights,1,189,17,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
189, ’98 Braves,14,151,8,https://open.spotify.com/track/3oZ6dlSfCE9gZ55MGPJctc
190, SPIT IN MY FACE!,33,—,1,https://open.spotify.com/track/1N8TTK1Uoy7UvQNUazfUt5
191, When It Rains It Pours,115,179,3,https://open.spotify.com/track/1mMLMZYXkMueg65jRRWG1l
192, STAY (with Justin Bieber),1,196,94,https://open.spotify.com/track/567e29TDzLwZwfDuEpGTwo
193, Hey Mor,164,—,1,https://open.spotify.com/track/1zsPaEkglFvxjAhrM8yhpr
194, All Girls Are The Same,13,193,33,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
195, Riptide,95,177,3,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
196, Redbone,9,198,2,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
197, Circles,1,185,2,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
198, ALL MINE,22,—,1,https://open.spotify.com/track/3XgGQ1wjo5khvq2UImjyNF
199, P power (feat. Drake),14,—,1,https://open.spotify.com/track/0lEjxUUlKqjqXrVlIHFduD
200, Wants and Needs (feat. Lil Baby),2,—,1,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
